Strain Name,terpenes.myrcene,terpenes.pinene,terpenes.caryophyllene,terpenes.limonene,terpenes.linalool,terpenes.terpinolene,terpenes.ocimene,terpenes.humulene,terpenes.other,cannabinoids.THC,cannabinoids.CBD,cannabinoids.CBG,cannabinoids.CBN,cannabinoids.other,medical_effects.Stress,medical_effects.Anxiety,medical_effects.Depression,medical_effects.Pain,medical_effects.Insomnia,medical_effects.Lack of Appetite,medical_effects.Nausea,medical_effects.other,user_effects.Happy,user_effects.Euphoric,user_effects.Creative,user_effects.Relaxed,user_effects.Uplifted,user_effects.Energetic,user_effects.Focused,user_effects.Sleepy,user_effects.Hungry,user_effects.Talkative,user_effects.Tingly,user_effects.Giggly,user_effects.DryMouth,user_effects.DryEyes,user_effects.Dizzy,user_effects.Paranoid,user_effects.Anxious,user_effects.other,onset_minutes,duration_hours,interactions.Sedatives,interactions.Anti-anxiety (benzodiazepines),interactions.Antidepressants (SSRIs),interactions.Opioid analgesics,interactions.Anticonvulsants,interactions.Anticoagulants,interactions.other,flavors.Berry,flavors.Sweet,flavors.Earthy,flavors.Pungent,flavors.Pine,flavors.Vanilla,flavors.Minty,flavors.Skunky,flavors.Citrus,flavors.Spicy,flavors.Herbal,flavors.Diesel,flavors.Tropical,flavors.Fruity,flavors.Grape,flavors.other
"Blue Dream",0.008,0.005,0.003,0.001,0.001,,,,,0.21,0,0.01,,,0.5,,0.5,,,,,,,0.3,0.6,0.3,0.6,0.7,,,,,,,0.3,0.3,,0.3,0.3,,5,3,,,,,,,,0.7,,,,,,,,,,,,,,,
"Wedding Cake",0.008,,0.005,0.003,0.001,0.001,,,,0.24,,0.01,,,0.5,,0.5,,,,,,,0.3,,0.3,,,,,,,,,0.3,,,,0.3,,5,3,,,,,,,,,,,,,0.7,,,,,,,,,,
"Original Glue (GG4)",,,,,0.008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,,,,,,,,,0.7,,,,,,,,,0.5,,,,,
"GSC (Girl Scout Cookies)",,,,,0.008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,,,,,,,,,0.7,,,,,,,,,0.5,,,,,
"Northern Lights",0.008,0.005,0.003,0.001,0.001,,,,,0.18,0,0.01,,,0.5,,,,0.3,,,,,0.3,,0.3,,,,,,,,,0.3,0.3,,,0.3,,5,3,,,,,,,,,,,,0.7,,,,,,,,,,,
"Purple Kush",0.008,0.005,0.003,0.001,0.001,,,,,0.19,0,,,,0.5,,,,,,,,,,,0.8,,,,,,,,,0.3,0.3,,,0.3,,5,3,0.5,0.4,,,,,,,0.7,0.7,0.5,0.8,,,,0.8,0.7,0.5,,,0.5,,
"LA Confidential",0.008,0.005,0.003,,0.001,,,,,0.17,,0.01,,,0.5,,,,,,,,,,,0.8,,,,,,,,,0.3,0.3,,,0.3,,5,3,0.5,0.4,,,,,,,,,,0.7,,,,,,,,,,,
"9 Pound Hammer",0.008,,,,,,,,,0.24,,0.01,,,0.5,,,0.8,,,,,,,,0.3,,,,,,,,,0.3,0.3,,,0.3,,5,3,,,,,,,,,,,,,,,,,,,,,,0.9,
"Purple Urkle",0.008,0.005,0.003,0.001,0.001,,,,,0.19,0,0.01,,,0.5,,,0.8,,,,,,,,0.3,,,,,,,,,0.3,0.3,,,0.3,,5,3,,,,,,,,,,,,,,,,,,,,,,0.7,
"Blackberry Kush",0.008,,0.005,0.003,0.001,0.001,,,,0.17,0,0.01,,,0.5,,,0.8,0.6,,,,,,,0.3,,,,0.6,,,,,0.3,0.3,,,0.3,,5,3,0.5,0.4,,,,,,0.9,,,,,,,,,,,,,,,
"Hindu Kush",0.008,0.005,0.003,0.001,0.001,,,,,0.19,0,0.01,,,0.8,,,,,,,,,,,0.3,,,,,,,,,0.3,0.3,,,0.3,,5,3,,,,,,,,,,0.7,,,,,,,,,,,,,
"Pink Kush",0.008,,0.005,0.003,0.001,0.001,,,,0.19,0,0.01,,,0.5,,,0.5,0.6,,,,,,,0.3,,,,0.6,,,,,0.3,0.3,,,0.3,,5,3,0.5,0.4,,,,,,,0.7,0.7,0.5,,,,,0.8,0.7,0.5,,,0.5,,
"Papaya Punch",,,0.008,,0.005,,,,,0.23,,0.01,,,0.8,,,0.5,0.6,,,,,,,0.3,,,,0.6,,,,,0.3,,,,0.3,,5,3,0.5,0.4,,,,,,,,,,,,,,,,,,0.7,,,
"MK Ultra",,0.008,0.005,0.003,0.001,,,,,0.2,0,0.01,,,0.5,,,,,,,,,0.3,,0.3,,,,,,,,,0.3,0.3,,,0.3,,5,3,,,,,,,,,,0.7,,,,,,,,,,,,,
"Blueberry",0.008,0.005,0.003,,0.001,,,,,0.17,,0.01,,,0.5,,,,,,,,,0.3,,0.8,,,,,,,,,0.3,0.3,,,0.3,,5,3,0.5,0.4,,,,,,0.7,,,,,,,,,,,,,,,
"Pineapple Express",,,0.008,,,,,,,0.2,,0.01,,,0.5,,0.5,,,,,,0.3,,0.6,0.3,0.6,0.7,,,,,,,0.3,0.3,,0.3,0.3,,5,3,,,,,,,,,,,,0.9,,,,,,,,,,,
"Sour Diesel",,0.008,0.005,0.003,0.001,,,,,0.19,0,0.01,,,0.5,,0.5,,,,,,,,,0.3,,,,,,,,,0.3,0.3,,,0.3,,5,3,,,,,,,,,,,,,,,,,,,0.9,,,,
"Maui Wowie",0.008,0.005,0.003,0.001,0.001,,,,,0.19,0,0.01,,,0.5,,0.5,,,,,,,0.3,,0.3,,,,,,,,,0.3,0.3,,,0.3,,5,3,,,,,,,,,0.7,0.7,0.5,0.8,,,,0.8,0.7,0.5,,,0.5,,
"Durban Poison",0.008,0.005,,0.003,0.001,,,,,0.19,0,0.01,,,0.5,,0.5,,,,,,,,,0.3,,,,,,,,,0.3,0.3,,0.3,0.3,,5,3,,,,,,,,,,,,0.7,,,,,,,,,,,
