awards,aliases,effects,flavors,medical,terpenes,grow_info,description,strain_name,rating_count,cbd_percentage,cbg_percentage,rating_average,thc_percentage,lineage_parents,strain_classification,url,name,lineage,cbd_percent,thc_percent,average_rating,classification
"","","","","","{""pinene"":"""",""myrcene"":"""",""ocimene"":"""",""humulene"":"""",""limonene"":"""",""linalool"":"""",""terpinolene"":"""",""caryophyllene"":""""}","{""yield"":"""",""height"":"""",""difficulty"":"""",""flowering_weeks"":0}","","Cake",0,,,,,"","Hybrid",,,,,,,
,,,,,"{}","{}",,,,,,,,,,,,,,,,
"","","","","","{""pinene"":"""",""myrcene"":"""",""ocimene"":"""",""humulene"":"""",""limonene"":"""",""linalool"":"""",""terpinolene"":"""",""caryophyllene"":""""}","{""yield"":"""",""height"":"""",""difficulty"":"""",""flowering_weeks"":null}","","Lost Soul",,,,,,"","Indica",,,,,,,
"","","","","","{""pinene"":"""",""myrcene"":"""",""ocimene"":"""",""humulene"":"""",""limonene"":"""",""linalool"":"""",""terpinolene"":"""",""caryophyllene"":""""}","{""yield"":"""",""height"":"""",""difficulty"":"""",""flowering_weeks"":0}","","",0,0,0,0,0,"","",,,,,,,
"High Times Cannabis Cup Winner","","Relaxed, Happy, Euphoric, Uplifted, Creative","Sweet, Berry, Citrus, Earthy, Creamy","Stress, Pain, Depression, Insomnia, Lack of Appetite","{""pinene"":""Present"",""myrcene"":""Present"",""ocimene"":""Present"",""humulene"":""Present"",""limonene"":""Present"",""linalool"":""Present"",""terpinolene"":""Present"",""caryophyllene"":""Dominant""}","{""yield"":""Medium"",""height"":""Medium"",""difficulty"":""Moderate"",""flowering_weeks"":8}","Gelato is a hybrid strain that is known for its sweet, dessert-like flavor and balanced effects.","Gelato",1000,0.1,0.2,4.5,20,"Sunset Sherbet x Thin Mint Girl Scout Cookies","Hybrid",,,,,,,
"","","","","","{""pinene"":"""",""myrcene"":"""",""ocimene"":"""",""humulene"":"""",""limonene"":"""",""linalool"":"""",""terpinolene"":"""",""caryophyllene"":""""}","{""yield"":"""",""height"":"""",""difficulty"":"""",""flowering_weeks"":0}","","Glue",0,,,,,"","Hybrid",,,,,,,
"","","happy, euphoric, creative, energetic","earthy, citrus, sweet, spicy","stress relief, depression, fatigue","{""pinene"":""Present"",""myrcene"":""Present"",""ocimene"":""Present"",""humulene"":""Present"",""limonene"":""Dominant"",""linalool"":""Present"",""terpinolene"":""Present"",""caryophyllene"":""Present""}","{""yield"":""Medium"",""height"":""Tall"",""difficulty"":""Moderate"",""flowering_weeks"":null}","Haze is a classic sativa strain known for its uplifting effects and distinct flavor profile.","Haze",0,,,,,"Unknown","Sativa",,,,,,,
"","","","","","{""pinene"":"""",""myrcene"":"""",""ocimene"":"""",""humulene"":"""",""limonene"":"""",""linalool"":"""",""terpinolene"":"""",""caryophyllene"":""""}","{""yield"":"""",""height"":"""",""difficulty"":"""",""flowering_weeks"":0}","","",0,0,0,0,0,"","",,,,,,,
"[]",,"[""Creative"",""Euphoric"",""Focused""]","[""Coffee"",""Earthy"",""Pungent""]","[""Stress"",""Anxiety"",""Pain""]","[]","{""yield"":""medium"",""height"":""medium"",""difficulty"":""moderate"",""flowering_time_weeks"":""7 - 9""}","$100 OG is a 50/50 hybrid strain that packs a strong punch. The name supposedly refers to both its strength and high price when it first started showing up in Hollywood. As a plant, $100 OG tends to produce large dark green buds with few stems. Users report a strong body effect of an indica for pain relief with the more alert, cerebral feeling thanks to its sativa side.",,508,,,,,,,"https://www.leafly.com/strains/100-og","$100 OG","[""OG Kush""]",,,2.9,"Hybrid"
"[]",,"[""Giggly"",""Tingly"",""Relaxed""]","[""Grape"",""Citrus"",""Skunky"",""Spice"",""Gas""]","[""Stress"",""Depression"",""Pain""]","[""Myrcene"",""Caryophyllene"",""Terpinolene""]","{""yield"":""medium"",""height"":""medium"",""difficulty"":""moderate"",""flowering_time_weeks"":null}","10th Planet, also known as ""Tenth Planet,"" is a hybrid marijuana strain made by crossing Planet of the Grapes and the Pluto cut of Quattro Kush to create this calyx-heavy strain that is out of this solar system. Flavors and aromas are heavy on the grape and citrus notes, and backed by thick, skunky spice and gas undertones. As for effects, this strong strain will put you in sedative and blissful haze. 10th Planet was originally bred by Ethos.",,48,,,,,,,"https://www.leafly.com/strains/10th-planet","10th Planet","[""Planet of the Grapes"",""Quattro Kush""]",0,17,4.5,"Hybrid"
"[]",,"[""Talkative"",""Happy"",""Relaxed""]","[""Orange"",""Citrus"",""Lemon""]","[""Anxiety"",""Depression"",""Pain""]","[]","{""yield"":""null"",""height"":""null"",""difficulty"":""null"",""flowering_time_weeks"":null}","1:1 Buddha's Smile is a hybrid marijuana strain. We're still learning about the flavors and effects of 1:1 Buddha's Smile - if you've smoked, dabbed, or consumed this strain before, tell us about it by leaving a review.",,24,,,,,,,"https://www.leafly.com/strains/11-buddhas-smile","1:1 Buddha's Smile","[]",,,4.7,"Hybrid"
"[]",,"[""happy"",""talkative"",""uplifted""]","[""orange"",""sweet"",""earthy""]","[""depression"",""stress"",""insomnia""]","[""pinene"",""myrcene"",""caryophyllene""]","{""yield"":""medium"",""height"":""medium"",""difficulty"":""moderate"",""flowering_time_weeks"":null}","2 Scoops, also called ""Two Scoops"", is a hybrid weed strain made by crossing Grape Sherbet and Orange Sherbet. The effects of 2 Scoops are believed to be sleepy and giggly. Buds are big and colorful, with a mix of vivid shades of green and purple under a trichome frost. Reviewers on Leafly say 2 Scoops makes them feel talkative, creative, and happy. 2 Scoops has 17% THC. The dominant terpene in this strain is caryophyllene, with a pungent nose of creamy orange with dank overtones and sweet, earthy flavoring. Medical marijuana patients say they buy this strain when mitigating symptoms of anxiety, pain, and nausea. The original breeder of Two Scoops is T-Fly Genetics, distributed by Elev8 Genetics.",,7,,,,,,,"https://www.leafly.com/strains/2-scoops","2 Scoops","[""Grape Sherbet"",""Orange Sherbet""]",0,17,4,"Hybrid"
"[]",,"[""Energetic"",""Happy"",""Uplifted""]","[""Earthy"",""Sweet"",""Tropical""]","[""Depression"",""Pain"",""Fatigue""]","[]","{""yield"":""null"",""height"":""null"",""difficulty"":""null"",""flowering_time_weeks"":null}","2090 Shit is a hybrid weed strain made from a genetic cross between Snowman and Y Life. This strain is 50% sativa and 50% indica. 2090 Shit is 30% THC, making this strain an ideal choice for experienced cannabis consumers. Bred by Powerzzzup Genetics, the average price of 2090 Shit typically ranges from $10-$15 per gram. We are still learning about 2090 Shit’s effects, flavors, and medical uses.",,7,,,,,,,"https://www.leafly.com/strains/2090-shit","2090 Shit","[""Snowman"",""Y Life""]",,30,4,"Hybrid"
"[]",,"[""Relaxed"",""Happy"",""Uplifted""]","[""Citrus"",""Orange"",""Grapefruit""]","[""Stress"",""Anxiety"",""Depression""]","[""Myrcene"",""Pinene"",""Limonene""]","{""yield"":""medium"",""height"":""medium"",""difficulty"":""moderate"",""flowering_time_weeks"":null}","24k Gold, also known as ""24k,"" is a potent hybrid marijuana strain made by crossing Kosher Kush with Tangie. This strain provides euphoric and relaxing effects that leave the consumer in a happy state of mind. 24k Gold offers a sweet citrus flavor when smoked or vaped. Medical marijuana patients choose 24k Gold to relieve symptoms associated with stress, anxiety, and depression. Growers say this strain has dark colored buds like its parent, Kosher Kush. With a THC content of 20%, 24K Gold is best reserved for cannabis consumers with a high THC tolerance.",,355,,,,,,,"https://www.leafly.com/strains/24k-gold","24k Gold","[""Kosher Kush"",""Tangie""]",,20,4.6,"Hybrid"
