name,classification,thc_percent,cbd_percent,cbg_percent,average_rating,rating_count,effects,medical,flavors,terpenes,lineage,awards,grow_info_yield,grow_info_height,grow_info_difficulty,grow_info_flowering_time_weeks,description,url
$100 OG,Hybrid,,,,2.9,508,"Creative;Euphoric;Focused","Stress;Anxiety;Pain","Coffee;Earthy;Pungent",,OG Kush,,medium,medium,moderate,7,"$100 OG is a 50/50 hybrid strain that packs a strong punch. The name supposedly refers to both its strength and high price when it first started showing up in Hollywood. As a plant, $100 OG tends to produce large dark green buds with few stems. Users report a strong body effect of an indica for pain relief with the more alert, cerebral feeling thanks to its sativa side.",https://www.leafly.com/strains/100-og
1:1 Buddha's Smile,Hybrid,,,,4.7,24,"Talkative;Happy;Relaxed","Anxiety;Depression;Pain","Orange;Citrus;Lemon",,,,null,null,null,,"1:1 Buddha's Smile is a hybrid marijuana strain. We're still learning about the flavors and effects of 1:1 Buddha's Smile - if you've smoked, dabbed, or consumed this strain before, tell us about it by leaving a review.",https://www.leafly.com/strains/11-buddhas-smile
10th Planet,Hybrid,17,,,4.5,48,"Giggly;Tingly;Relaxed","Stress;Depression;Pain","Grape;Citrus;Skunky;Spice;Gas","Myrcene;Caryophyllene;Terpinolene","Planet of the Grapes;Quattro Kush",,medium,medium,moderate,,"10th Planet, also known as ""Tenth Planet,"" is a hybrid marijuana strain made by crossing Planet of the Grapes and the Pluto cut of Quattro Kush to create this calyx-heavy strain that is out of this solar system. Flavors and aromas are heavy on the grape and citrus notes, and backed by thick, skunky spice and gas undertones. As for effects, this strong strain will put you in sedative and blissful haze. 10th Planet was originally bred by Ethos.",https://www.leafly.com/strains/10th-planet
2 Scoops,Hybrid,17,,,4,7,"Happy;Talkative;Uplifted","Depression;Stress;Insomnia","Orange;Sweet;Earthy","Pinene;Myrcene;Caryophyllene","Grape Sherbet;Orange Sherbet",,medium,medium,moderate,,"2 Scoops, also called ""Two Scoops"", is a hybrid weed strain made by crossing Grape Sherbet and Orange Sherbet. The effects of 2 Scoops are believed to be sleepy and giggly. Buds are big and colorful, with a mix of vivid shades of green and purple under a trichome frost. Reviewers on Leafly say 2 Scoops makes them feel talkative, creative, and happy. 2 Scoops has 17% THC. The dominant terpene in this strain is caryophyllene, with a pungent nose of creamy orange with dank overtones and sweet, earthy flavoring. Medical marijuana patients say they buy this strain when mitigating symptoms of anxiety, pain, and nausea. The original breeder of Two Scoops is T-Fly Genetics, distributed by Elev8 Genetics.",https://www.leafly.com/strains/2-scoops
2090 Shit,Hybrid,30,,,4,7,"Energetic;Happy;Uplifted","Depression;Pain;Fatigue","Earthy;Sweet;Tropical",,"Snowman;Y Life",,null,null,null,,"2090 Shit is a hybrid weed strain made from a genetic cross between Snowman and Y Life. This strain is 50% sativa and 50% indica. 2090 Shit is 30% THC, making this strain an ideal choice for experienced cannabis consumers. Bred by Powerzzzup Genetics, the average price of 2090 Shit typically ranges from $10-$15 per gram. We are still learning about 2090 Shit’s effects, flavors, and medical uses.",https://www.leafly.com/strains/2090-shit
24k Gold,Hybrid,20,,,4.6,355,"Relaxed;Happy;Uplifted","Stress;Anxiety;Depression","Citrus;Orange;Grapefruit","Myrcene;Pinene;Limonene","Kosher Kush;Tangie",,medium,medium,moderate,,"24k Gold, also known as ""24k,"" is a potent hybrid marijuana strain made by crossing Kosher Kush with Tangie. This strain provides euphoric and relaxing effects that leave the consumer in a happy state of mind. 24k Gold offers a sweet citrus flavor when smoked or vaped. Medical marijuana patients choose 24k Gold to relieve symptoms associated with stress, anxiety, and depression. Growers say this strain has dark colored buds like its parent, Kosher Kush. With a THC content of 20%, 24K Gold is best reserved for cannabis consumers with a high THC tolerance.",https://www.leafly.com/strains/24k-gold
3 Kings,Hybrid,19,,,4.4,359,"Relaxed;Happy;Uplifted","Stress;Depression;Anxiety","Pine;Sage;Earthy","Caryophyllene;Limonene;Myrcene","Headband;Sour Diesel;OG Kush",,medium,medium,moderate,,"3 Kings, also known as ""Three Kings,"" is a sativa-dominant hybrid marijuana strain. Three Kings is a holy trinity of Headband, Sour Diesel, and OG Kush. This genetic masterpiece features an aroma of sour tanginess that reek from sage green buds. The frosty coat of 3 Kings gives you a fair warning of this strains' legendary potency. Medical patients will appreciate the versatility of this 3 Kings medicinal effects as it relieves pain, stress, and nausea without heavy sedation.",https://www.leafly.com/strains/3-kings
303 Kush,Indica,20,,,4.2,81,"Relaxed;Sleepy;Happy","Stress;Pain;Depression","Woody;Earthy;Pungent","Limonene;Myrcene;Linalool","Pre-98 Bubba Kush;Chemdawg",,medium,medium,moderate,,"The indica-dominant 303 OG is a Colorado strain bred by crossing Pre-98 Bubba Kush and Chemdawg. Its parent strains pass on a complex flavor profile of coffee and spice with diesel undertones. Its buzz can be described as social and creative, a dreamy experience perfect for letting off steam at the end of the work day. The happy euphoria induced by 303 OG may help patients treating depression, anxiety, and stress disorders.",https://www.leafly.com/strains/303-og
501st OG,Hybrid,21,,,4.6,131,"Relaxed;Sleepy;Euphoric","Stress;Pain;Insomnia","Pine;Earthy;Pungent","Myrcene;Caryophyllene;Limonene","Skywalker OG;Rare Dankness #1",,medium,medium,moderate,,"501st OG, bred by Rare Dankness, is an indica-dominant hybrid that crosses Skywalker OG with Rare Dankness #1. The colorful flowers are tinged with a wide spectrum of green, blue, red, and purple hues that give off a deep piney kush aroma that mixes with the sweetness of grape flavors. The potent effects make 501st OG a great nighttime strain to help with pain relief and trouble sleeping.",https://www.leafly.com/strains/501st-og
707 Headband,Hybrid,20,,,4.3,438,"Creative;Uplifted;Focused","Stress;Pain;Anxiety","Skunk;Pungent;Earthy","Myrcene;Terpinolene;Ocimene","Sour Diesel;OG Kush;Master Kush",,high,medium,moderate,9,"This strain emerged from the Humboldt County, California and that area’s telephone area code is the source of its numerical moniker. It’s a cross between Sour Diesel, OG Kush and Master Kush. 707 Headband plants flower in 9 to 11 weeks and usually have large yields. This strain is known to have high THC levels and can be strong, but it’s balanced enough to leave most consumers feeling calm and creative rather than sleepy. Because of this, it’s often used to treat tension and anxiety.",https://www.leafly.com/strains/707-headband
